	ec1017	ec1020	ec1024	ec1036	ec1038	ec1043	ec1050	ec1157	ec1169	ec1173	ec1177	ec1178	ec1185	ec1253	ec1256	ec1261	ec1264	ec1269	ec1272	ec1280	ec1285	ec1288	ec1293	ec1312	ec1316	ec1320	ec1324	ec1328	ec1332	ec1336	ec1340	ec1344
ec1017	0.0	0.4449058537464827	0.31023304284878706	0.4571395780283757	0.46441282493245256	0.3308071945739802	0.40399708039094295	0.27147812223291984	0.3845369584694136	0.41186010720935684	0.31272958885513447	0.15003448332527095	0.2168945108559148	0.5141078586853385	0.16177270634842034	0.18525526468549058	0.2752829705680663	0.1941320596678968	0.14717715284936525	0.33567350197413326	0.2745453222817593	0.17787720554873976	0.18278202647661093	0.14864537023353197	0.18210983893984856	0.11557880171455658	0.2430107114648797	0.1468457375791306	0.25755102821702197	0.22361865390763216	0.18980629017251602	0.2216440092920804
ec1020	0.4449058537464827	0.0	0.39957379896255474	0.392682460242886	0.3741668692646002	0.40161423667768487	0.36381290741632155	0.3485733151244902	0.3656405039379448	0.37567036810615073	0.30267682298995974	0.41098717879647906	0.38461101149924337	0.29881141746189205	0.42169592368590586	0.4525305200623926	0.3660686779512468	0.46583858611956236	0.4068915784877261	0.3472682126528192	0.3747607515114956	0.4492059010841101	0.44443060887213803	0.3884154288703475	0.4507424363930279	0.4202536985522001	0.38647842604275423	0.4033353021781563	0.46827916012828896	0.3652653687008245	0.37838860763708837	0.4042940503205935
ec1024	0.31023304284878706	0.39957379896255474	0.0	0.2891896333899682	0.32410005725522556	0.16408140848219946	0.345756454904444	0.1379270255687476	0.24797109466259173	0.30080296073657375	0.24264646408773385	0.2547628142166604	0.15227063853014533	0.4366628375664169	0.26384887147317304	0.29221892074624434	0.300329569051773	0.18970498064352953	0.2453835201847482	0.16645393157081853	0.17135509315744601	0.2623877995788226	0.2712502023695993	0.21254765018459032	0.281890144151009	0.2664520133079833	0.10582825326921241	0.24613941623663133	0.19872421684082137	0.13534735663269049	0.15420756798984261	0.1786017846064718
ec1036	0.4571395780283757	0.392682460242886	0.2891896333899682	0.0	0.14656477513220317	0.3267088248513389	0.3923337550201043	0.30280014361623653	0.21210877138853293	0.26598296217217676	0.3094809671542541	0.4277707344827358	0.3627971129094415	0.38862922988850657	0.44287577429692343	0.46584483204859795	0.38275558474675814	0.4143036935806842	0.4192644171263561	0.18228392348154082	0.25718437846263137	0.4403308681752387	0.42757883048293266	0.4031191710649812	0.44654116898536517	0.4361902264200968	0.337408174576627	0.41737409397385034	0.42638885434695384	0.3318290030208451	0.3566432162243875	0.37367586007922754
ec1038	0.46441282493245256	0.3741668692646002	0.32410005725522556	0.14656477513220317	0.0	0.3334912244434901	0.3985240112345349	0.31889343720137336	0.28066116159556753	0.2731927623064699	0.3101053578681475	0.4364060988660149	0.37326772111794615	0.3404763484221491	0.45460264551869056	0.4858652468684765	0.3754818548438654	0.4368473790344093	0.42968164314756807	0.19965560017884906	0.25936325495424545	0.45934249000330585	0.44823048402912813	0.4132786948164541	0.4685515667565479	0.446070762138349	0.3467945233506281	0.428191714808205	0.4428504217493773	0.34592355250629064	0.37009624148874587	0.3710808556020859
ec1043	0.3308071945739802	0.40161423667768487	0.16408140848219946	0.3267088248513389	0.3334912244434901	0.0	0.35682582937079443	0.21652493029563658	0.2930630876295883	0.341619919053007	0.2833285811814469	0.2802151495262777	0.18573180609007414	0.47036988300296223	0.29505360829141547	0.3270291955827159	0.2663398213296199	0.21245033327666757	0.2698606923269708	0.18286649618397002	0.20883099680654466	0.2930345997295324	0.3031090329081889	0.26510846107039254	0.3162462751959075	0.2783254953687818	0.15488445340930895	0.2714399417123731	0.19657393409236312	0.20958269860862577	0.21079519561343948	0.2403008284876818
ec1050	0.40399708039094295	0.36381290741632155	0.345756454904444	0.3923337550201043	0.3985240112345349	0.35682582937079443	0.0	0.2956871446633566	0.3589153380927409	0.337598841266298	0.2842921200605663	0.3275565613621635	0.33130370108816454	0.4443055988574981	0.3715148738773727	0.40723489059947904	0.40290092526320886	0.4141052927656268	0.36068115216023705	0.34686754877341425	0.364465972843401	0.4060326434307516	0.40990367048071685	0.3381381422612369	0.4049492423557415	0.3722242834991064	0.325888651636554	0.3538396504462258	0.4214293655439592	0.31278430721756123	0.3297887025564431	0.3242989744500309
ec1157	0.27147812223291984	0.3485733151244902	0.1379270255687476	0.30280014361623653	0.31889343720137336	0.21652493029563658	0.2956871446633566	0.0	0.2191570622428008	0.20731237629363494	0.1319755839999635	0.20487059889518033	0.15990519553850205	0.3658540196580606	0.21195266048606437	0.24566040207957734	0.2522666262147124	0.2383585325790622	0.19956343579816765	0.180513757643477	0.186492190521697	0.2321931260101898	0.2390627332947116	0.16836355802546277	0.2422948185467495	0.2169697232421715	0.13793000537861191	0.20600678354353658	0.23904872935708915	0.06621603392366221	0.1407925483848389	0.16700906446460745
ec1169	0.3845369584694136	0.3656405039379448	0.24797109466259173	0.21210877138853293	0.28066116159556753	0.2930630876295883	0.3589153380927409	0.2191570622428008	0.0	0.25233725566761356	0.21892626990885178	0.3415883822084804	0.3070468682750657	0.3939933730992264	0.3519446889650616	0.3737246319005359	0.33634023886946557	0.37371225845571887	0.3297105979545817	0.18560217979875174	0.2557355948312196	0.3502678448887551	0.36007700671630105	0.31095531062735116	0.35839190900353296	0.3430840767829169	0.29935212889111185	0.3334436019953767	0.38536877093661903	0.25150525633182097	0.27673091602968425	0.3233046451730135
ec1173	0.41186010720935684	0.37567036810615073	0.30080296073657375	0.26598296217217676	0.2731927623064699	0.341619919053007	0.337598841266298	0.20731237629363494	0.25233725566761356	0.0	0.17808836318952254	0.3721818394962061	0.3263043808347639	0.3149660201697978	0.38103654996756775	0.4114339695945707	0.38890186618670686	0.40642508192521953	0.37000149042927366	0.2795159632311999	0.30917694102921184	0.39501634450351747	0.39359343129269664	0.3237403231421538	0.4036269813189505	0.36923692044598266	0.3052787580392909	0.35785033751508843	0.4176571735092432	0.25369270615905004	0.3056832403189372	0.3396512485461487
ec1177	0.31272958885513447	0.30267682298995974	0.24264646408773385	0.3094809671542541	0.3101053578681475	0.2833285811814469	0.2842921200605663	0.1319755839999635	0.21892626990885178	0.17808836318952254	0.0	0.28701244131681664	0.2421489204625456	0.2818895962362794	0.29739234615569465	0.33459280767070915	0.3096511130376382	0.3470297364592636	0.28188419023286176	0.2456381270334649	0.2632196261694247	0.32908881532589696	0.3374133720277445	0.2509787532100142	0.32958792707768053	0.2913641738644699	0.2366511771185772	0.2799125779860239	0.3498007095927296	0.18005502371137375	0.2322608012514722	0.27038430338772934
ec1178	0.15003448332527095	0.41098717879647906	0.2547628142166604	0.4277707344827358	0.4364060988660149	0.2802151495262777	0.3275565613621635	0.20487059889518033	0.3415883822084804	0.3721818394962061	0.28701244131681664	0.0	0.14048620806478015	0.4839906947328492	0.08040533206710207	0.10802204900413885	0.21120087546457392	0.1342198593175079	0.07377951354866491	0.28845757446411846	0.26612596850082226	0.10972811316984704	0.1265937999134017	0.08031042037937579	0.1221855524021961	0.09787509925089947	0.19306853794872603	0.07582588139178834	0.1949940912853978	0.157923644181376	0.14059418249362082	0.17807812684468757
ec1185	0.2168945108559148	0.38461101149924337	0.15227063853014533	0.3627971129094415	0.37326772111794615	0.18573180609007414	0.33130370108816454	0.15990519553850205	0.3070468682750657	0.3263043808347639	0.2421489204625456	0.14048620806478015	0.0	0.4260709894927952	0.17082407611378925	0.2035797121662499	0.19502855391217724	0.12867229061601393	0.1585354505638104	0.22150770422484367	0.20103942563181293	0.17346003417156042	0.18113802933802242	0.12264715981319514	0.20429668062971235	0.1607550049932768	0.08764312168576187	0.1583061356566779	0.13361025169827825	0.10398209243208677	0.07174797892871215	0.1347188771266695
ec1253	0.5141078586853385	0.29881141746189205	0.4366628375664169	0.38862922988850657	0.3404763484221491	0.47036988300296223	0.4443055988574981	0.3658540196580606	0.3939933730992264	0.3149660201697978	0.2818895962362794	0.4839906947328492	0.4260709894927952	0.0	0.4974998217048947	0.5321128424335624	0.4241554387901092	0.5374550979809744	0.480461741298738	0.40867096328976243	0.4434507817528941	0.5163262860539897	0.5223998099335466	0.45002758932809944	0.5265691543972549	0.49261674244800546	0.42816919351130545	0.4780740190100635	0.539587426665755	0.3938305922038314	0.42821895563047263	0.4638445694148032
ec1256	0.16177270634842034	0.42169592368590586	0.26384887147317304	0.44287577429692343	0.45460264551869056	0.29505360829141547	0.3715148738773727	0.21195266048606437	0.3519446889650616	0.38103654996756775	0.29739234615569465	0.08040533206710207	0.17082407611378925	0.4974998217048947	0.0	0.03907387089882831	0.22807592608625823	0.13907108746822244	0.05036990269910685	0.3029604798830624	0.28207286059627024	0.052121058741332174	0.06274308953807042	0.10476746152555269	0.0441855607426859	0.10783124090066597	0.20272458062588722	0.05125861630858386	0.21264194097323375	0.16828775367247406	0.15187006059162728	0.21094925073825627
ec1261	0.18525526468549058	0.4525305200623926	0.29221892074624434	0.46584483204859795	0.4858652468684765	0.3270291955827159	0.40723489059947904	0.24566040207957734	0.3737246319005359	0.4114339695945707	0.33459280767070915	0.10802204900413885	0.2035797121662499	0.5321128424335624	0.03907387089882831	0.0	0.24945971904729464	0.1487958125708172	0.075791718709431	0.33331262005958695	0.3085597170157214	0.0511043569716553	0.07426036330106436	0.12469268897458381	0.04230595378051963	0.13756370916131397	0.23783109741890548	0.07839361063329174	0.2297471964391058	0.20239104442405004	0.181063401272277	0.24128458611952508
ec1264	0.2752829705680663	0.3660686779512468	0.300329569051773	0.38275558474675814	0.3754818548438654	0.2663398213296199	0.40290092526320886	0.2522666262147124	0.33634023886946557	0.38890186618670686	0.3096511130376382	0.21120087546457392	0.19502855391217724	0.4241554387901092	0.22807592608625823	0.24945971904729464	0.0	0.25261094376130794	0.2263602462478972	0.25826238326745776	0.277798335720163	0.2328381871633094	0.24677454281678046	0.23682661315452447	0.2508235858441693	0.23529083263354242	0.24342065482625708	0.24602204511457498	0.2532455155193408	0.2101651552284941	0.20519603935024203	0.22470710296761323
ec1269	0.1941320596678968	0.46583858611956236	0.18970498064352953	0.4143036935806842	0.4368473790344093	0.21245033327666757	0.4141052927656268	0.2383585325790622	0.37371225845571887	0.40642508192521953	0.3470297364592636	0.1342198593175079	0.12867229061601393	0.5374550979809744	0.13907108746822244	0.1487958125708172	0.25261094376130794	0.0	0.13309027067324705	0.28278838781221205	0.26881506686971746	0.12003197425489989	0.1296421310081527	0.14557143848175563	0.156002524928734	0.15657077949977083	0.12157062957154927	0.13495818833730075	0.10600623705694798	0.1828833438810486	0.15252367491817548	0.21220343429334332
ec1272	0.14717715284936525	0.4068915784877261	0.2453835201847482	0.4192644171263561	0.42968164314756807	0.2698606923269708	0.36068115216023705	0.19956343579816765	0.3297105979545817	0.37000149042927366	0.28188419023286176	0.07377951354866491	0.1585354505638104	0.480461741298738	0.05036990269910685	0.075791718709431	0.2263602462478972	0.13309027067324705	0.0	0.2738519130563233	0.25542844409288	0.07222771305473484	0.08986304782763338	0.08730123982791749	0.07488503654735441	0.09362664436079435	0.18746491391084108	0.04744385885988939	0.20027072136192114	0.15685502115302502	0.13456871502323187	0.20073121474437164
ec1280	0.33567350197413326	0.3472682126528192	0.16645393157081853	0.18228392348154082	0.19965560017884906	0.18286649618397002	0.34686754877341425	0.180513757643477	0.18560217979875174	0.2795159632311999	0.2456381270334649	0.28845757446411846	0.22150770422484367	0.40867096328976243	0.3029604798830624	0.33331262005958695	0.25826238326745776	0.28278838781221205	0.2738519130563233	0.0	0.11509727462883557	0.30271645108734924	0.30054209785999536	0.26088599838099025	0.318747644646418	0.29441908306006903	0.1994310364412674	0.27802338829099693	0.28384457417958264	0.19336372002954455	0.21798677345036566	0.2368174958663801
ec1285	0.2745453222817593	0.3747607515114956	0.17135509315744601	0.25718437846263137	0.25936325495424545	0.20883099680654466	0.364465972843401	0.186492190521697	0.2557355948312196	0.30917694102921184	0.2632196261694247	0.26612596850082226	0.20103942563181293	0.4434507817528941	0.28207286059627024	0.3085597170157214	0.277798335720163	0.26881506686971746	0.25542844409288	0.11509727462883557	0.0	0.280854009042505	0.2750974819486909	0.2291517152228375	0.2996141852715621	0.2315520199282961	0.20088261445303196	0.27304387922267936	0.2691056003897697	0.18778287067738209	0.18624463780228834	0.19403454161253247
ec1288	0.17787720554873976	0.4492059010841101	0.2623877995788226	0.4403308681752387	0.45934249000330585	0.2930345997295324	0.4060326434307516	0.2321931260101898	0.3502678448887551	0.39501634450351747	0.32908881532589696	0.10972811316984704	0.17346003417156042	0.5163262860539897	0.052121058741332174	0.0511043569716553	0.2328381871633094	0.12003197425489989	0.07222771305473484	0.30271645108734924	0.280854009042505	0.0	0.055547820908008666	0.1270399026914485	0.052701825496190534	0.13977267425841594	0.2121056719608746	0.07922807680172893	0.1976633998274176	0.1806528771759183	0.15068349853722574	0.2233661849335692
ec1293	0.18278202647661093	0.44443060887213803	0.2712502023695993	0.42757883048293266	0.44823048402912813	0.3031090329081889	0.40990367048071685	0.2390627332947116	0.36007700671630105	0.39359343129269664	0.3374133720277445	0.1265937999134017	0.18113802933802242	0.5223998099335466	0.06274308953807042	0.07426036330106436	0.24677454281678046	0.1296421310081527	0.08986304782763338	0.30054209785999536	0.2750974819486909	0.055547820908008666	0.0	0.14742278332203104	0.06536659020962764	0.15218958910077013	0.2109275220580829	0.09370540735450716	0.20928131052358784	0.1905728852944114	0.15907318407334003	0.23874805262376028
ec1312	0.14864537023353197	0.3884154288703475	0.21254765018459032	0.4031191710649812	0.4132786948164541	0.26510846107039254	0.3381381422612369	0.16836355802546277	0.31095531062735116	0.3237403231421538	0.2509787532100142	0.08031042037937579	0.12264715981319514	0.45002758932809944	0.10476746152555269	0.12469268897458381	0.23682661315452447	0.14557143848175563	0.08730123982791749	0.26088599838099025	0.2291517152228375	0.1270399026914485	0.14742278332203104	0.0	0.13966397176354556	0.08380567871128443	0.15062469013525573	0.0818476459559051	0.19594734476989442	0.12075669994790464	0.08395783557298317	0.1543215818482879
ec1316	0.18210983893984856	0.4507424363930279	0.281890144151009	0.44654116898536517	0.4685515667565479	0.3162462751959075	0.4049492423557415	0.2422948185467495	0.35839190900353296	0.4036269813189505	0.32958792707768053	0.1221855524021961	0.20429668062971235	0.5265691543972549	0.0441855607426859	0.04230595378051963	0.2508235858441693	0.156002524928734	0.07488503654735441	0.318747644646418	0.2996141852715621	0.052701825496190534	0.06536659020962764	0.13966397176354556	0.0	0.14700832751990223	0.23212918266502477	0.07969507440884818	0.2331970750005284	0.2011399368936082	0.1696276348339936	0.24723315168162258
ec1320	0.11557880171455658	0.4202536985522001	0.2664520133079833	0.4361902264200968	0.446070762138349	0.2783254953687818	0.3722242834991064	0.2169697232421715	0.3430840767829169	0.36923692044598266	0.2913641738644699	0.09787509925089947	0.1607550049932768	0.49261674244800546	0.10783124090066597	0.13756370916131397	0.23529083263354242	0.15657077949977083	0.09362664436079435	0.29441908306006903	0.2315520199282961	0.13977267425841594	0.15218958910077013	0.08380567871128443	0.14700832751990223	0.0	0.20034228470902773	0.09774149779000885	0.23122753239271582	0.16673213504417234	0.12682698471634912	0.1819999654963647
ec1324	0.2430107114648797	0.38647842604275423	0.10582825326921241	0.337408174576627	0.3467945233506281	0.15488445340930895	0.325888651636554	0.13793000537861191	0.29935212889111185	0.3052787580392909	0.2366511771185772	0.19306853794872603	0.08764312168576187	0.42816919351130545	0.20272458062588722	0.23783109741890548	0.24342065482625708	0.12157062957154927	0.18746491391084108	0.1994310364412674	0.20088261445303196	0.2121056719608746	0.2109275220580829	0.15062469013525573	0.23212918266502477	0.20034228470902773	0.0	0.18118335486557038	0.12841511423766203	0.08327970424089912	0.10194803259759305	0.14464115800706315
ec1328	0.1468457375791306	0.4033353021781563	0.24613941623663133	0.41737409397385034	0.428191714808205	0.2714399417123731	0.3538396504462258	0.20600678354353658	0.3334436019953767	0.35785033751508843	0.2799125779860239	0.07582588139178834	0.1583061356566779	0.4780740190100635	0.05125861630858386	0.07839361063329174	0.24602204511457498	0.13495818833730075	0.04744385885988939	0.27802338829099693	0.27304387922267936	0.07922807680172893	0.09370540735450716	0.0818476459559051	0.07969507440884818	0.09774149779000885	0.18118335486557038	0.0	0.21014506136217748	0.16044241337988216	0.14071369853183505	0.1994823793679647
ec1332	0.25755102821702197	0.46827916012828896	0.19872421684082137	0.42638885434695384	0.4428504217493773	0.19657393409236312	0.4214293655439592	0.23904872935708915	0.38536877093661903	0.4176571735092432	0.3498007095927296	0.1949940912853978	0.13361025169827825	0.539587426665755	0.21264194097323375	0.2297471964391058	0.2532455155193408	0.10600623705694798	0.20027072136192114	0.28384457417958264	0.2691056003897697	0.1976633998274176	0.20928131052358784	0.19594734476989442	0.2331970750005284	0.23122753239271582	0.12841511423766203	0.21014506136217748	0.0	0.1789631958109076	0.15776342063185758	0.2243915598440044
ec1336	0.22361865390763216	0.3652653687008245	0.13534735663269049	0.3318290030208451	0.34592355250629064	0.20958269860862577	0.31278430721756123	0.06621603392366221	0.25150525633182097	0.25369270615905004	0.18005502371137375	0.157923644181376	0.10398209243208677	0.3938305922038314	0.16828775367247406	0.20239104442405004	0.2101651552284941	0.1828833438810486	0.15685502115302502	0.19336372002954455	0.18778287067738209	0.1806528771759183	0.1905728852944114	0.12075669994790464	0.2011399368936082	0.16673213504417234	0.08327970424089912	0.16044241337988216	0.1789631958109076	0.0	0.08471418018818856	0.1229015706449254
ec1340	0.18980629017251602	0.37838860763708837	0.15420756798984261	0.3566432162243875	0.37009624148874587	0.21079519561343948	0.3297887025564431	0.1407925483848389	0.27673091602968425	0.3056832403189372	0.2322608012514722	0.14059418249362082	0.07174797892871215	0.42821895563047263	0.15187006059162728	0.181063401272277	0.20519603935024203	0.15252367491817548	0.13456871502323187	0.21798677345036566	0.18624463780228834	0.15068349853722574	0.15907318407334003	0.08395783557298317	0.1696276348339936	0.12682698471634912	0.10194803259759305	0.14071369853183505	0.15776342063185758	0.08471418018818856	0.0	0.13769296085269062
ec1344	0.2216440092920804	0.4042940503205935	0.1786017846064718	0.37367586007922754	0.3710808556020859	0.2403008284876818	0.3242989744500309	0.16700906446460745	0.3233046451730135	0.3396512485461487	0.27038430338772934	0.17807812684468757	0.1347188771266695	0.4638445694148032	0.21094925073825627	0.24128458611952508	0.22470710296761323	0.21220343429334332	0.20073121474437164	0.2368174958663801	0.19403454161253247	0.2233661849335692	0.23874805262376028	0.1543215818482879	0.24723315168162258	0.1819999654963647	0.14464115800706315	0.1994823793679647	0.2243915598440044	0.1229015706449254	0.13769296085269062	0.0
