	ec1249	ec1265	ec1314	ec1346	ec1349	ec1361	ec1362	ec1378	ec1393	ec1396	ec1400	ec1409	ec1411	ec1420	ec1424	ec1425	ec1427	ec1438	ec1442	ec1449	ec1457	ec1462	ec1468	ec1492	ec1497	ec1500	ec1508	ec1513	ec1516	ec1517	ec1524	ec1533	eti111	eti123	eti135	eti149	eti154	eti162	eti164	eti165	eti166	eti167
ec1249	0.0	0.706	0.726	0.782	0.712	0.576	0.708	0.922	0.692	0.872	0.512	0.842	0.76	0.876	0.66	0.528	0.79	0.892	0.996	0.97	0.778	0.59	0.928	0.766	0.846	0.586	0.904	0.816	0.888	0.894	0.896	0.704	0.654	0.746	0.798	0.99	0.624	0.66	0.786	0.7	0.802	0.698
ec1265	0.706	0.0	0.942	0.894	0.814	0.742	0.704	0.984	0.602	0.868	0.744	0.936	0.786	0.888	0.618	0.666	0.678	0.966	0.996	0.972	0.544	0.574	0.968	0.912	0.634	0.66	0.948	0.51	0.978	0.986	0.988	0.676	0.578	0.886	0.712	0.986	0.638	0.754	0.642	0.632	0.644	0.556
ec1314	0.726	0.942	0.0	0.464	0.54	0.464	0.88	0.606	0.888	0.538	0.592	0.526	0.522	0.576	0.842	0.48	0.888	0.776	0.994	0.98	0.97	0.826	0.874	0.576	0.952	0.822	0.928	0.942	0.928	0.936	0.92	0.912	0.584	0.382	0.482	0.986	0.836	0.862	0.95	0.896	0.962	0.884
ec1346	0.782	0.894	0.464	0.0	0.548	0.438	0.804	0.406	0.746	0.404	0.64	0.368	0.34	0.384	0.868	0.482	0.826	0.782	0.98	0.976	0.898	0.852	0.954	0.842	0.884	0.906	0.986	0.902	0.936	0.97	0.974	0.938	0.554	0.286	0.286	1.0	0.898	0.86	0.868	0.924	0.936	0.874
ec1349	0.712	0.814	0.54	0.548	0.0	0.436	0.812	0.686	0.874	0.612	0.612	0.606	0.49	0.616	0.788	0.514	0.796	0.766	0.996	0.978	0.892	0.784	0.916	0.796	0.886	0.814	0.938	0.744	0.906	0.93	0.926	0.694	0.516	0.488	0.542	0.994	0.744	0.8	0.804	0.754	0.882	0.77
ec1361	0.576	0.742	0.464	0.438	0.436	0.0	0.738	0.52	0.768	0.434	0.592	0.414	0.346	0.452	0.688	0.368	0.752	0.798	0.996	0.972	0.83	0.74	0.87	0.772	0.85	0.732	0.838	0.76	0.9	0.864	0.852	0.672	0.472	0.368	0.418	0.986	0.626	0.726	0.776	0.68	0.84	0.722
ec1362	0.708	0.704	0.88	0.804	0.812	0.738	0.0	0.89	0.712	0.864	0.662	0.864	0.772	0.866	0.608	0.68	0.654	0.912	0.996	0.974	0.636	0.778	0.986	0.926	0.798	0.584	0.974	0.868	0.99	0.982	0.984	0.584	0.586	0.85	0.766	0.998	0.608	0.782	0.716	0.74	0.376	0.696
ec1378	0.922	0.984	0.606	0.406	0.686	0.52	0.89	0.0	0.96	0.16	0.734	0.222	0.364	0.124	0.942	0.634	0.914	0.824	0.996	0.988	0.986	0.986	0.994	0.986	0.984	0.986	0.986	0.988	0.992	0.992	0.994	0.982	0.726	0.408	0.446	1.0	0.986	0.986	0.956	0.986	0.984	0.986
ec1393	0.692	0.602	0.888	0.746	0.874	0.768	0.712	0.96	0.0	0.942	0.788	0.924	0.846	0.924	0.73	0.688	0.782	0.966	0.996	0.972	0.404	0.412	0.976	0.912	0.778	0.784	0.982	0.536	0.958	0.97	0.982	0.804	0.698	0.904	0.68	1.0	0.786	0.782	0.58	0.784	0.812	0.728
ec1396	0.872	0.868	0.538	0.404	0.612	0.434	0.864	0.16	0.942	0.0	0.712	0.176	0.288	0.13	0.854	0.598	0.872	0.806	0.996	0.97	0.956	0.914	0.944	0.912	0.936	0.922	0.958	0.868	0.984	0.986	0.978	0.904	0.638	0.33	0.4	0.986	0.896	0.916	0.924	0.91	0.938	0.896
ec1400	0.512	0.744	0.592	0.64	0.612	0.592	0.662	0.734	0.788	0.712	0.0	0.682	0.604	0.704	0.688	0.388	0.798	0.782	0.996	0.976	0.792	0.672	0.97	0.826	0.894	0.546	0.938	0.902	0.95	0.908	0.936	0.688	0.448	0.582	0.624	1.0	0.628	0.77	0.87	0.68	0.734	0.702
ec1409	0.842	0.936	0.526	0.368	0.606	0.414	0.864	0.222	0.924	0.176	0.682	0.0	0.288	0.194	0.89	0.528	0.878	0.812	0.996	0.976	0.954	0.912	0.904	0.866	0.95	0.89	0.926	0.926	0.928	0.922	0.914	0.884	0.636	0.302	0.384	0.998	0.872	0.878	0.934	0.882	0.95	0.89
ec1411	0.76	0.786	0.522	0.34	0.49	0.346	0.772	0.364	0.846	0.288	0.604	0.288	0.0	0.27	0.754	0.466	0.714	0.778	0.996	0.964	0.814	0.84	0.942	0.872	0.82	0.84	0.96	0.838	0.932	0.952	0.944	0.812	0.546	0.284	0.302	0.998	0.81	0.806	0.838	0.83	0.816	0.746
ec1420	0.876	0.888	0.576	0.384	0.616	0.452	0.866	0.124	0.924	0.13	0.704	0.194	0.27	0.0	0.856	0.568	0.824	0.818	0.996	0.974	0.918	0.944	0.984	0.952	0.924	0.966	0.984	0.932	0.972	0.988	0.984	0.954	0.678	0.364	0.398	1.0	0.958	0.922	0.93	0.97	0.942	0.884
ec1424	0.66	0.618	0.842	0.868	0.788	0.688	0.608	0.942	0.73	0.854	0.688	0.89	0.754	0.856	0.0	0.664	0.752	0.924	0.996	0.984	0.738	0.758	0.976	0.908	0.83	0.666	0.95	0.814	0.972	0.96	0.962	0.64	0.572	0.854	0.83	0.99	0.638	0.754	0.83	0.704	0.676	0.622
ec1425	0.528	0.666	0.48	0.482	0.514	0.368	0.68	0.634	0.688	0.598	0.388	0.528	0.466	0.568	0.664	0.0	0.688	0.78	0.996	0.974	0.68	0.608	0.894	0.784	0.78	0.584	0.848	0.762	0.85	0.858	0.866	0.662	0.394	0.484	0.448	1.0	0.598	0.668	0.8	0.654	0.768	0.626
ec1427	0.79	0.678	0.888	0.826	0.796	0.752	0.654	0.914	0.782	0.872	0.798	0.878	0.714	0.824	0.752	0.688	0.0	0.92	0.998	0.978	0.534	0.788	0.996	0.942	0.584	0.888	0.994	0.784	0.982	0.998	0.996	0.844	0.728	0.85	0.732	0.996	0.876	0.838	0.682	0.89	0.644	0.734
ec1438	0.892	0.966	0.776	0.782	0.766	0.798	0.912	0.824	0.966	0.806	0.782	0.812	0.778	0.818	0.924	0.78	0.92	0.0	0.996	0.996	0.992	0.932	0.976	0.93	0.99	0.932	0.988	0.97	0.96	0.966	0.984	0.954	0.77	0.766	0.786	1.0	0.928	0.934	0.97	0.944	0.984	0.956
ec1442	0.996	0.996	0.994	0.98	0.996	0.996	0.996	0.996	0.996	0.996	0.996	0.996	0.996	0.996	0.996	0.996	0.998	0.996	0.0	0.996	1.0	1.0	1.0	1.0	0.748	1.0	0.996	1.0	0.418	1.0	1.0	1.0	0.996	1.0	0.996	1.0	1.0	0.554	0.996	1.0	0.994	0.906
ec1449	0.97	0.972	0.98	0.976	0.978	0.972	0.974	0.988	0.972	0.97	0.976	0.976	0.964	0.974	0.984	0.974	0.978	0.996	0.996	0.0	0.98	0.988	1.0	0.99	0.978	0.994	0.988	0.98	0.998	1.0	0.998	0.998	0.972	0.986	0.976	0.998	0.986	0.984	0.976	0.992	0.98	0.976
ec1457	0.778	0.544	0.97	0.898	0.892	0.83	0.636	0.986	0.404	0.956	0.792	0.954	0.814	0.918	0.738	0.68	0.534	0.992	1.0	0.98	0.0	0.364	1.0	0.95	0.56	0.802	0.998	0.524	0.98	0.998	1.0	0.766	0.72	0.926	0.702	0.994	0.79	0.802	0.562	0.806	0.628	0.646
ec1462	0.59	0.574	0.826	0.852	0.784	0.74	0.778	0.986	0.412	0.914	0.672	0.912	0.84	0.944	0.758	0.608	0.788	0.932	1.0	0.988	0.364	0.0	0.924	0.776	0.776	0.622	0.934	0.47	0.932	0.936	0.95	0.706	0.678	0.774	0.686	0.986	0.65	0.704	0.572	0.698	0.814	0.696
ec1468	0.928	0.968	0.874	0.954	0.916	0.87	0.986	0.994	0.976	0.944	0.97	0.904	0.942	0.984	0.976	0.894	0.996	0.976	1.0	1.0	1.0	0.924	0.0	0.668	0.986	0.88	0.778	0.948	0.926	0.67	0.662	0.83	0.886	0.846	0.928	0.986	0.746	0.896	0.992	0.804	0.994	0.904
ec1492	0.766	0.912	0.576	0.842	0.796	0.772	0.926	0.986	0.912	0.912	0.826	0.866	0.872	0.952	0.908	0.784	0.942	0.93	1.0	0.99	0.95	0.776	0.668	0.0	0.954	0.754	0.774	0.874	0.894	0.726	0.734	0.79	0.81	0.62	0.84	0.998	0.626	0.812	0.884	0.722	0.95	0.85
ec1497	0.846	0.634	0.952	0.884	0.886	0.85	0.798	0.984	0.778	0.936	0.894	0.95	0.82	0.924	0.83	0.78	0.584	0.99	0.748	0.978	0.56	0.776	0.986	0.954	0.0	0.884	0.982	0.716	0.704	0.998	0.998	0.854	0.812	0.926	0.788	0.986	0.882	0.586	0.736	0.896	0.568	0.572
ec1500	0.586	0.66	0.822	0.906	0.814	0.732	0.584	0.986	0.784	0.922	0.546	0.89	0.84	0.966	0.666	0.584	0.888	0.932	1.0	0.994	0.802	0.622	0.88	0.754	0.884	0.0	0.81	0.718	0.868	0.81	0.836	0.426	0.546	0.812	0.88	0.984	0.316	0.67	0.874	0.42	0.6	0.606
ec1508	0.904	0.948	0.928	0.986	0.938	0.838	0.974	0.986	0.982	0.958	0.938	0.926	0.96	0.984	0.95	0.848	0.994	0.988	0.996	0.988	0.998	0.934	0.778	0.774	0.982	0.81	0.0	0.898	0.914	0.46	0.46	0.768	0.918	0.946	0.978	0.974	0.678	0.872	0.974	0.798	0.992	0.894
ec1513	0.816	0.51	0.942	0.902	0.744	0.76	0.868	0.988	0.536	0.868	0.902	0.926	0.838	0.932	0.814	0.762	0.784	0.97	1.0	0.98	0.524	0.47	0.948	0.874	0.716	0.718	0.898	0.0	0.938	0.968	0.968	0.654	0.698	0.854	0.728	0.986	0.726	0.852	0.572	0.636	0.858	0.724
ec1516	0.888	0.978	0.928	0.936	0.906	0.9	0.99	0.992	0.958	0.984	0.95	0.928	0.932	0.972	0.972	0.85	0.982	0.96	0.418	0.998	0.98	0.932	0.926	0.894	0.704	0.868	0.914	0.938	0.0	0.89	0.908	0.884	0.956	0.932	0.962	1.0	0.864	0.382	0.996	0.88	0.972	0.808
ec1517	0.894	0.986	0.936	0.97	0.93	0.864	0.982	0.992	0.97	0.986	0.908	0.922	0.952	0.988	0.96	0.858	0.998	0.966	1.0	1.0	0.998	0.936	0.67	0.726	0.998	0.81	0.46	0.968	0.89	0.0	0.336	0.832	0.94	0.922	0.964	1.0	0.678	0.852	0.99	0.802	0.988	0.904
ec1524	0.896	0.988	0.92	0.974	0.926	0.852	0.984	0.994	0.982	0.978	0.936	0.914	0.944	0.984	0.962	0.866	0.996	0.984	1.0	0.998	1.0	0.95	0.662	0.734	0.998	0.836	0.46	0.968	0.908	0.336	0.0	0.81	0.93	0.906	0.958	0.998	0.686	0.856	0.992	0.79	0.99	0.914
ec1533	0.704	0.676	0.912	0.938	0.694	0.672	0.584	0.982	0.804	0.904	0.688	0.884	0.812	0.954	0.64	0.662	0.844	0.954	1.0	0.998	0.766	0.706	0.83	0.79	0.854	0.426	0.768	0.654	0.884	0.832	0.81	0.0	0.592	0.834	0.9	0.976	0.358	0.716	0.802	0.436	0.562	0.622
eti111	0.654	0.578	0.584	0.554	0.516	0.472	0.586	0.726	0.698	0.638	0.448	0.636	0.546	0.678	0.572	0.394	0.728	0.77	0.996	0.972	0.72	0.678	0.886	0.81	0.812	0.546	0.918	0.698	0.956	0.94	0.93	0.592	0.0	0.55	0.512	0.986	0.536	0.728	0.774	0.562	0.684	0.63
eti123	0.746	0.886	0.382	0.286	0.488	0.368	0.85	0.408	0.904	0.33	0.582	0.302	0.284	0.364	0.854	0.484	0.85	0.766	1.0	0.986	0.926	0.774	0.846	0.62	0.926	0.812	0.946	0.854	0.932	0.922	0.906	0.834	0.55	0.0	0.302	1.0	0.754	0.828	0.868	0.798	0.918	0.854
eti135	0.798	0.712	0.482	0.286	0.542	0.418	0.766	0.446	0.68	0.4	0.624	0.384	0.302	0.398	0.83	0.448	0.732	0.786	0.996	0.976	0.702	0.686	0.928	0.84	0.788	0.88	0.978	0.728	0.962	0.964	0.958	0.9	0.512	0.302	0.0	1.0	0.87	0.84	0.68	0.888	0.89	0.812
eti149	0.99	0.986	0.986	1.0	0.994	0.986	0.998	1.0	1.0	0.986	1.0	0.998	0.998	1.0	0.99	1.0	0.996	1.0	1.0	0.998	0.994	0.986	0.986	0.998	0.986	0.984	0.974	0.986	1.0	1.0	0.998	0.976	0.986	1.0	1.0	0.0	0.984	0.988	0.988	0.982	0.998	0.986
eti154	0.624	0.638	0.836	0.898	0.744	0.626	0.608	0.986	0.786	0.896	0.628	0.872	0.81	0.958	0.638	0.598	0.876	0.928	1.0	0.986	0.79	0.65	0.746	0.626	0.882	0.316	0.678	0.726	0.864	0.678	0.686	0.358	0.536	0.754	0.87	0.984	0.0	0.652	0.82	0.386	0.622	0.576
eti162	0.66	0.754	0.862	0.86	0.8	0.726	0.782	0.986	0.782	0.916	0.77	0.878	0.806	0.922	0.754	0.668	0.838	0.934	0.554	0.984	0.802	0.704	0.896	0.812	0.586	0.67	0.872	0.852	0.382	0.852	0.856	0.716	0.728	0.828	0.84	0.988	0.652	0.0	0.848	0.716	0.796	0.592
eti164	0.786	0.642	0.95	0.868	0.804	0.776	0.716	0.956	0.58	0.924	0.87	0.934	0.838	0.93	0.83	0.8	0.682	0.97	0.996	0.976	0.562	0.572	0.992	0.884	0.736	0.874	0.974	0.572	0.996	0.99	0.992	0.802	0.774	0.868	0.68	0.988	0.82	0.848	0.0	0.828	0.81	0.824
eti165	0.7	0.632	0.896	0.924	0.754	0.68	0.74	0.986	0.784	0.91	0.68	0.882	0.83	0.97	0.704	0.654	0.89	0.944	1.0	0.992	0.806	0.698	0.804	0.722	0.896	0.42	0.798	0.636	0.88	0.802	0.79	0.436	0.562	0.798	0.888	0.982	0.386	0.716	0.828	0.0	0.756	0.616
eti166	0.802	0.644	0.962	0.936	0.882	0.84	0.376	0.984	0.812	0.938	0.734	0.95	0.816	0.942	0.676	0.768	0.644	0.984	0.994	0.98	0.628	0.814	0.994	0.95	0.568	0.6	0.992	0.858	0.972	0.988	0.99	0.562	0.684	0.918	0.89	0.998	0.622	0.796	0.81	0.756	0.0	0.678
eti167	0.698	0.556	0.884	0.874	0.77	0.722	0.696	0.986	0.728	0.896	0.702	0.89	0.746	0.884	0.622	0.626	0.734	0.956	0.906	0.976	0.646	0.696	0.904	0.85	0.572	0.606	0.894	0.724	0.808	0.904	0.914	0.622	0.63	0.854	0.812	0.986	0.576	0.592	0.824	0.616	0.678	0.0
